"id","name","unit","description","createdAt","updatedAt","code","coverage","timespan","datasetId","sourceId","shortUnit","columnOrder","originalMetadata"
"72","Total population (Gapminder, HYDE & UN)","","Population by country, available from 1800 to 2019 based on Gapminder data, HYDE, and UN Population Division (2019) estimates.","2015-07-23 03:52:31","2019-09-13 10:46:42",\N,"","","70","301",\N,"0",\N
"192","Freedom of the Press Status","","","2016-01-23 23:05:05","2019-05-13 09:35:35",\N,"Global by country","1979-2014","152","85",\N,"0",\N
"349","Life satisfaction in Cantril Ladder (World Happiness Report 2019)","","Average of survey responses to the 'Cantril Ladder' question in the Gallup World Poll. The survey question asks respondents to think of a ladder, with the best possible life for them being a 10, and the worst possible life being a 0. ","2016-01-01 00:00:00","2019-05-08 11:27:40",\N,"Global by country","2005-2016","235","201",\N,"0",\N
"358","Human Rights Score (Schnakenberg & Fariss, 2014; Fariss, 2019)","","The Human Rights Score provides a measure of the protection of the physical integrity of citizens. It aims to measure how a government protects its citizens' physical integrity, by taking into account torture, government killing, political imprisonment, extrajudicial executions, mass killings and disappearances. Its values range from  −3.8 to around 5.4 (the higher the better). It is constructed from an econometric model with data from nine sources.","2016-01-01 00:00:00","2019-06-11 00:42:26",\N,"Globally, by country and world average","1949 - 2014","241","208",\N,"0",\N
"1316","Human Development Index (UNDP)","(0-1; higher values are better)","The Human Development Index (HDI) is a summary measure of average achievement in key dimensions of human development: a long and healthy life, being knowledgeable and have a decent standard of living. \
\
Measured by:\
\
– Life expectancy at birth\
\
– Mean years of schooling & Expected years of schooling\
\
– GNI per capita (in PPP adjusted international-$)\
\
The HDI is the geometric mean of normalized indices for each of the three dimensions.","2016-01-01 00:00:00","2019-05-08 16:01:18",\N,"Global by country","","275","283",\N,"0",\N
"1405","Corruption Perception Index - Transparency International (2018)","","Annual ranking of countries by their perceived levels of corruption, as determined by expert assessments and opinion surveys. Scale is from 100 (very clean) to 0 (highly corrupt). ","2016-10-11 02:19:26","2019-05-07 14:58:49",\N,"","2012-2015","305","408",\N,"0",\N
"1769","Cumulative CO2 emissions (OWID based on GCP & CDIAC (2018))","million tonnes","Cumulative carbon dioxide (CO₂) emissions is the total quantity of CO₂ emissions emitted from 1751 until a given year, measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods. ","2017-04-25 21:03:03","2019-07-19 09:36:14",\N,"global by country","","445","567",\N,"0",\N
"2098","Land area (sq. km)","sq. km","Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","2017-07-06 08:22:00","2018-12-11 20:12:30","AG.LND.TOTL.K2","","1960-2017","554","760","sq. km","0",\N
"2118","Population density (people per sq. km of land area)","people per sq. km of land area","Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","2017-07-06 08:22:00","2018-12-11 20:12:30","EN.POP.DNST","","1960-2017","554","780","people","0",\N
"2130","Rural population","","Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.","2017-07-06 08:22:00","2018-12-11 20:12:30","SP.RUR.TOTL","","1960-2017","554","792",\N,"0",\N
