id,name,unit,data_type,description,createdAt,updatedAt,code,coverage,timespan,datasetId,sourceId,shortUnit,columnOrder,originalMetadata
72,"Total population (Gapminder, HYDE & UN)",,numeric,"Population by country, available from 1800 to 2019 based on Gapminder data, HYDE, and UN Population Division (2019) estimates.",7/23/15 3:52,9/13/19 10:46,\N,,,70,301,\N,0,\N
192,Freedom of the Press Status,,order,,1/23/16 23:05,5/13/19 9:35,\N,Global by country,1979-2014,152,85,\N,0,\N
349,Life satisfaction in Cantril Ladder (World Happiness Report 2019),,numeric,"Average of survey responses to the 'Cantril Ladder' question in the Gallup World Poll. The survey question asks respondents to think of a ladder, with the best possible life for them being a 10, and the worst possible life being a 0. ",1/1/16 0:00,5/8/19 11:27,\N,Global by country,2005-2016,235,201,\N,0,\N
358,"Human Rights Score (Schnakenberg & Fariss, 2014; Fariss, 2019)",,numeric,"The Human Rights Score provides a measure of the protection of the physical integrity of citizens. It aims to measure how a government protects its citizens' physical integrity, by taking into account torture, government killing, political imprisonment, extrajudicial executions, mass killings and disappearances. Its values range from  −3.8 to around 5.4 (the higher the better). It is constructed from an econometric model with data from nine sources.",1/1/16 0:00,6/11/19 0:42,\N,"Globally, by country and world average",1949 - 2014,241,208,\N,0,\N
1316,Human Development Index (UNDP),(0-1; higher values are better),numeric,"The Human Development Index (HDI) is a summary measure of average achievement in key dimensions of human development: a long and healthy life, being knowledgeable and have a decent standard of living. \
\
Measured by:\
\
– Life expectancy at birth\
\
– Mean years of schooling & Expected years of schooling\
\
– GNI per capita (in PPP adjusted international-$)\
\
The HDI is the geometric mean of normalized indices for each of the three dimensions.",1/1/16 0:00,5/8/19 16:01,\N,Global by country,,275,283,\N,0,\N
1405,Corruption Perception Index - Transparency International (2018),,numeric,"Annual ranking of countries by their perceived levels of corruption, as determined by expert assessments and opinion surveys. Scale is from 100 (very clean) to 0 (highly corrupt). ",10/11/16 2:19,5/7/19 14:58,\N,,2012-2015,305,408,\N,0,\N
1769,Cumulative CO2 emissions (OWID based on GCP & CDIAC (2018)),million tonnes,numeric,"Cumulative carbon dioxide (CO₂) emissions is the total quantity of CO₂ emissions emitted from 1751 until a given year, measured in tonnes. This is based on territorial emissions, which do not account for emissions embedded in traded goods. ",4/25/17 21:03,7/19/19 9:36,\N,global by country,,445,567,\N,0,\N
2098,Land area (sq. km),sq. km,numeric,"Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",7/6/17 8:22,12/11/18 20:12,AG.LND.TOTL.K2,,1960-2017,554,760,sq. km,0,\N
2118,Population density (people per sq. km of land area),people per sq. km of land area,numeric,"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",7/6/17 8:22,12/11/18 20:12,EN.POP.DNST,,1960-2017,554,780,people,0,\N
2130,Rural population,,numeric,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.,7/6/17 8:22,12/11/18 20:12,SP.RUR.TOTL,,1960-2017,554,792,\N,0,\N
2137,Terrestrial protected areas (% of total land area),% of total land area,numeric,"Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Marine areas, unclassified areas, littoral (intertidal) areas, and sites protected under local or provincial law are excluded.",7/6/17 8:22,12/11/18 20:12,ER.LND.PTLD.ZS,,1960-2017,554,799,%,0,\N
2145,Urban population,,numeric,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. Aggregation of urban and rural population may not add up to total population because of different country coverages.,7/6/17 8:22,12/11/18 20:12,SP.URB.TOTL,,1960-2017,554,807,\N,0,\N
2146,Urban population (% of total),% of total,numeric,Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.,7/6/17 8:22,12/11/18 20:12,SP.URB.TOTL.IN.ZS,,1960-2017,554,808,%,0,\N
2697,Secure Internet servers (per 1 million people),per 1 million people,numeric,"The number of distinct, publicly-trusted TLS/SSL certificates found in the Netcraft Secure Server Survey.",7/6/17 8:32,12/11/18 20:12,IT.NET.SECR.P6,,1960-2017,556,1359,\N,0,\N
2945,Time required to start a business (days),days,numeric,"Time required to start a business is the number of calendar days needed to complete the procedures to legally operate a business. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.",7/6/17 8:45,12/11/18 20:12,IC.REG.DURS,,1960-2017,559,1607,days,0,\N
