192,Freedom of the Press Status,,,1/23/16 23:05,5/13/19 9:35,\N,Global by country,1979-2014,152,85,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"Human Rights Score (Schnakenberg & Fariss, 2014; Fariss, 2019)",,"The Human Rights Score provides a measure of the protection of the physical integrity of citizens. It aims to measure how a government protects its citizens' physical integrity, by taking into account torture, government killing, political imprisonment, extrajudicial executions, mass killings and disappearances. Its values range from  −3.8 to around 5.4 (the higher the better). It is constructed from an econometric model with data from nine sources.",1/1/16 0:00,6/11/19 0:42,\N,"Globally, by country and world average",1949 - 2014,241,208,\N,"{\name\"": \""Human Rights Score\"""," \""unit\"": \""Higher = better\""}""",0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,Human Development Index (UNDP),(0-1; higher values are better),"The Human Development Index (HDI) is a summary measure of average achievement in key dimensions of human development: a long and healthy life, being knowledgeable and have a decent standard of living. \
\
Measured by:\
\
– Life expectancy at birth\
\
– Mean years of schooling & Expected years of schooling\
\
– GNI per capita (in PPP adjusted international-$)\
\
The HDI is the geometric mean of normalized indices for each of the three dimensions.",1/1/16 0:00,5/8/19 16:01,\N,Global by country,,275,283,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Corruption Perception Index - Transparency International (2018),,"Annual ranking of countries by their perceived levels of corruption, as determined by expert assessments and opinion surveys. Scale is from 100 (very clean) to 0 (highly corrupt). ",10/11/16 2:19,5/7/19 14:58,\N,,2012-2015,305,408,\N,"{\name\"": \""Corruption Perception Index\""}""",0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,Urban population (% of total),% of total,Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.,7/6/17 8:22,12/11/18 20:12,SP.URB.TOTL.IN.ZS,,1960-2017,554,808,%,"{\unit\"": \""Rate\""}""",0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,Secure Internet servers (per 1 million people),per 1 million people,"The number of distinct, publicly-trusted TLS/SSL certificates found in the Netcraft Secure Server Survey.",7/6/17 8:32,12/11/18 20:12,IT.NET.SECR.P6,,1960-2017,556,1359,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,Employment in agriculture (% of total employment) (modeled ILO estimate),modeled ILO estimate,"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).",7/6/17 8:50,12/11/18 20:12,SL.AGR.EMPL.ZS,,1960-2017,560,1726,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,Employment in services (% of total employment) (modeled ILO estimate),modeled ILO estimate,"Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The services sector consists of wholesale and retail trade and restaurants and hotels; transport, storage, and communications; financing, insurance, real estate, and business services; and community, social, and personal services, in accordance with divisions 6-9 (ISIC 2) or categories G-Q (ISIC 3) or categories G-U (ISIC 4).",7/6/17 8:50,12/11/18 20:12,SL.SRV.EMPL.ZS,,1960-2017,560,1732,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,Age dependency ratio (% of working-age population),% of working-age population,Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.,7/6/17 9:03,12/11/18 20:12,SP.POP.DPND,,1960-2017,563,2007,%,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,"Mortality rate, infant (per 1,000 live births)","per 1,000 live births","Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.",7/6/17 9:03,12/11/18 20:12,SP.DYN.IMRT.IN,,1960-2017,563,2056,\N,{},0,\N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
